Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"stronglyConnectedComponents/Digraph [10]",3.3946081350729054e-5,3.390141135290304e-5,3.4001185509966365e-5,2.533135415755916e-7,2.0954706885262718e-7,3.4594877124821113e-7
"stronglyConnectedComponents/Containers [10]",3.121102334700481e-5,3.116927551642708e-5,3.12803736584414e-5,2.7019008418407874e-7,1.8880891780289427e-7,4.645774306391993e-7
"stronglyConnectedComponents/Graph.SCC [10]",2.399131814956328e-5,2.393300251580497e-5,2.4100438262656953e-5,3.977348529418444e-7,2.4393491210977263e-7,6.072722474405529e-7
"stronglyConnectedComponents/Digraph [100]",6.4512665017310445e-3,6.419904921836024e-3,6.485160086936122e-3,1.6706526248755287e-4,1.4604194151147292e-4,2.174743387540815e-4
"stronglyConnectedComponents/Containers [100]",6.364451144522793e-3,6.332905982321864e-3,6.396604274100426e-3,1.6336247581337276e-4,1.4908168137500573e-4,1.895300345343362e-4
"stronglyConnectedComponents/Graph.SCC [100]",4.032452451381268e-3,4.027160751018109e-3,4.041778194102825e-3,3.5213252080293e-5,2.3012267270100077e-5,6.288330415244172e-5
"stronglyConnectedComponents/Digraph [500]",0.25147780248958507,0.2494238168938819,0.25342845270473413,1.0277029677352112e-2,9.216936290694035e-3,1.1479386119363142e-2
"stronglyConnectedComponents/Containers [500]",0.24854950973827283,0.24644541094142827,0.25061955044109274,1.074262546230989e-2,9.72527671538594e-3,1.1981167963681781e-2
"stronglyConnectedComponents/Graph.SCC [500]",0.14609795639354617,0.14508368322688983,0.14719430992443,5.409244589010064e-3,4.609874535369151e-3,6.602200559606566e-3
